brand,store,mape,train_days,test_days
2663.0,2.0,111.08,35,12
8000.0,34.0,148.56,30,10
3826.0,76.0,91.97,33,11
3405.0,58.0,78.52,36,12
3405.0,12.0,543.23,32,11
3913.0,76.0,149.8,33,12
2114.0,60.0,41.51,39,13
1233.0,30.0,64.25,37,13
3650.0,33.0,64.74,32,11
3405.0,72.0,79.98,38,13
3405.0,30.0,98.95,37,13
1869.0,76.0,58.01,34,12
3489.0,74.0,145.87,27,10
8159.0,38.0,188.4,35,12
3102.0,66.0,258.28,31,11
8068.0,79.0,109.2,33,11
2589.0,27.0,163.04,33,12
7865.0,73.0,272.44,24,8
3650.0,67.0,94.08,28,10
4261.0,78.0,48.59,36,12
3040.0,6.0,96.72,39,14
3545.0,23.0,82.54,37,13
2757.0,61.0,44.03,27,10
3348.0,69.0,161.86,29,10
5734.0,73.0,199.45,33,11
1233.0,79.0,395.44,30,11
1233.0,51.0,50.72,33,11
8512.0,74.0,62.49,25,9
1233.0,31.0,68.06,39,13
3545.0,56.0,189.64,36,13
3102.0,32.0,80.66,30,10
5138.0,66.0,168.41,30,11
38370.0,38.0,744.36,35,12
3650.0,68.0,145.41,33,12
6570.0,64.0,68.69,38,13
3512.0,73.0,832.28,39,13
2443.0,76.0,69.36,37,13
3405.0,13.0,51.49,33,11
1737.0,73.0,168.17,37,13
3405.0,53.0,42.83,34,12
2127.0,60.0,59.6,39,13
3405.0,22.0,68.01,37,13
42188.0,76.0,93.04,22,8
1868.0,73.0,250.31,24,9
2757.0,66.0,193.14,34,12
8082.0,55.0,85.08,33,12
3405.0,39.0,261.88,38,13
4243.0,38.0,49.41,36,12
8159.0,60.0,160.36,30,10
5364.0,49.0,142.61,37,13
11219.0,38.0,68.97,39,13
2589.0,9.0,39.81,36,12
4673.0,10.0,110.91,29,10
3102.0,27.0,168.84,32,11
4261.0,56.0,62.14,38,13
3826.0,34.0,128.79,24,9
1376.0,48.0,90.39,30,10
8159.0,74.0,105.47,30,10
3545.0,51.0,148.61,34,12
3798.0,61.0,70.67,23,8
3858.0,60.0,167.84,29,10
5364.0,69.0,165.79,25,9
4261.0,30.0,77.79,37,13
3545.0,9.0,54.92,38,13
3802.0,50.0,525.23,27,10
8068.0,75.0,46.41,38,13
2663.0,61.0,351.25,29,10
3858.0,21.0,149.58,24,9
2443.0,34.0,111.95,32,11
2585.0,55.0,62.23,33,12
6570.0,55.0,90.5,32,11
2589.0,68.0,226.53,28,10
3545.0,71.0,133.33,24,8
